Subject,Model,Accuracy
1,EEGInceptionMI,25.0
1,EEGInceptionMI,25.0
1,EEGInceptionMI,24.31
1,EEGInceptionMI,23.61
1,EEGInceptionMI,25.69
1,EEGInceptionMI,27.78
1,EEGInceptionMI,29.86
1,EEGInceptionMI,31.6
1,EEGInceptionMI,38.54
1,EEGInceptionMI,27.78
1,EEGInceptionMI,25.0
1,EEGInceptionMI,25.0
1,EEGInceptionMI,29.17
1,EEGInceptionMI,37.85
1,EEGInceptionMI,36.11
1,EEGInceptionMI,45.49
1,EEGInceptionMI,45.83
1,EEGInceptionMI,48.26
1,EEGInceptionMI,36.81
1,EEGInceptionMI,45.14
1,EEGInceptionMI,48.26
1,EEGInceptionMI,43.06
1,EEGInceptionMI,42.36
1,EEGInceptionMI,31.94
1,EEGInceptionMI,35.76
1,EEGInceptionMI,43.75
1,EEGInceptionMI,24.31
1,EEGInceptionMI,32.99
1,EEGInceptionMI,45.49
1,EEGInceptionMI,50.69
1,EEGInceptionMI,38.54
1,EEGInceptionMI,52.43
1,EEGInceptionMI,50.69
1,EEGInceptionMI,49.31
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.69
2,EEGInceptionMI,24.31
2,EEGInceptionMI,24.65
2,EEGInceptionMI,25.35
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.0
2,EEGInceptionMI,26.04
2,EEGInceptionMI,25.0
2,EEGInceptionMI,23.96
2,EEGInceptionMI,25.35
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.69
2,EEGInceptionMI,24.31
2,EEGInceptionMI,25.69
2,EEGInceptionMI,27.08
2,EEGInceptionMI,25.0
2,EEGInceptionMI,26.04
2,EEGInceptionMI,26.39
2,EEGInceptionMI,25.0
2,EEGInceptionMI,25.0
2,EEGInceptionMI,27.43
3,EEGInceptionMI,25.0
3,EEGInceptionMI,26.04
3,EEGInceptionMI,25.0
3,EEGInceptionMI,25.69
3,EEGInceptionMI,27.78
3,EEGInceptionMI,37.15
3,EEGInceptionMI,35.42
3,EEGInceptionMI,26.39
3,EEGInceptionMI,29.86
3,EEGInceptionMI,29.86
3,EEGInceptionMI,29.17
3,EEGInceptionMI,50.0
3,EEGInceptionMI,25.35
3,EEGInceptionMI,43.4
3,EEGInceptionMI,35.42
3,EEGInceptionMI,38.54
3,EEGInceptionMI,37.85
3,EEGInceptionMI,53.12
3,EEGInceptionMI,33.33
3,EEGInceptionMI,39.93
3,EEGInceptionMI,29.86
3,EEGInceptionMI,42.71
3,EEGInceptionMI,44.1
3,EEGInceptionMI,45.14
3,EEGInceptionMI,31.94
3,EEGInceptionMI,44.44
